id,titulo,titulos_alternativos,ano_lancamento
1,Cowboy Bebop,"['カウボーイビバップ', 'Cowboy Bebop']",1998.0
6,Trigun,"['トライガン', 'Trigun']",1998.0
7,Witch Hunter Robin,"['WHR', 'Witch Hunter ROBIN (ウイッチハンターロビン)', 'Witch Hunter Robin']",2002.0
8,Beet the Vandel Buster,"['Bouken Ou Beet', '冒険王ビィト', 'Beet the Vandel Buster', 'Adventure King Beet']",2004.0
15,Eyeshield 21,"['アイシールド21', 'Eyeshield21', 'Eyeshield 21']",2005.0
16,Honey and Clover,"['Hachimitsu to Clover', 'HachiKuro', 'Honey and Clover', 'Honey & Clover', 'ハチミツとクローバー']",2005.0
17,Hungry Heart: Wild Striker,"['Hungry Heart: Wild Striker', 'ハングリーハート Wild Striker']",2002.0
19,Monster,"['モンスター', 'Monster']",2004.0
20,Naruto,"['ナルト', 'NARUTO', 'Naruto']",2002.0
21,One Piece,"['One Piece', 'OP', 'ONE PIECE']",1999.0
22,The Prince of Tennis,"['Tennis no Oujisama', 'The Prince of Tennis', 'TeniPuri', 'テニスの王子様', 'PoT']",2001.0
23,Ring ni Kakero 1,"['Ring ni Kakero 1', 'Put it all in the Ring', 'リングにかけろ１']",2004.0
24,School Rumble,"['School Rumble', 'スクールランブル']",2004.0
25,Desert Punk,"['Desert Punk', 'Sunabouzu', '砂ぼうず', 'Sunabozu']",2004.0
26,Texhnolyze,"['Technolyze', 'Texhnolyze', 'TEXHNOLYZE']",2003.0
27,Trinity Blood,"['トリニティ・ブラッド', 'Trinity Blood']",2005.0
28,Yakitate!! Japan,"['Yakitate!! Japan', '焼きたて!! ジャぱん', 'Freshly Baked!! Ja-pan!']",2004.0
29,Zipang,"['Zipang', 'ジパング']",2004.0
30,Neon Genesis Evangelion,"['Shinseiki Evangelion', '新世紀エヴァンゲリオン', 'NGE', 'Neon Genesis Evangelion', 'Evangelion (1995)']",1995.0
33,Berserk,"['Berserk', 'Berserk: The Chronicles of Wind Blades', 'Kenpuu Denki Berserk', 'Sword-Wind Chronicle Berserk', '剣風伝奇ベルセルク']",1997.0
