id,titulo,ano_lancamento,titulos_alternativos
1084242,Zootopia 2,2025.0,['Zootopia 2']
1033462,749局,2024.0,"['749局', 'Bureau 749']"
1419406,A Sombra Do Perigo,2025.0,"['捕风追影', ""The Shadow's Edge""]"
1309012,Altered,2025.0,['Altered']
1363123,Plano em Família 2,2025.0,['The Family Plan 2']
1448560,Wildcat,2025.0,['Wildcat']
967941,Wicked: Parte II,2025.0,['Wicked: For Good']
1062722,Frankenstein,2025.0,['Frankenstein']
1246049,Drácula - Uma História de Amor Eterno,2025.0,"['Dracula', 'Dracula: A Love Tale']"
1196573,Fuga Fatal,2025.0,['She Rides Shotgun']
1469354,Caçadores da Fronteira,2025.0,['Border Hunters']
1208561,A Arte das Oito Armas,2024.0,['Art of Eight Limbs']
1242898,Predador: Terras Selvagens,2025.0,['Predator: Badlands']
755898,A Guerra dos Mundos,2025.0,['War of the Worlds']
1116465,A Lenda: Em Busca do Medalhão Sagrado,2024.0,"['A Legend', '传说']"
1433719,High Ground: Cerco Fechado,2025.0,['High Ground']
1054867,Uma Batalha Após a Outra,2025.0,['One Battle After Another']
1539104,JUJUTSU KAISEN: Execução,2025.0,"['劇場版 呪術廻戦「渋谷事変 特別編集版」×「死滅回游 先行上映」', 'Jujutsu Kaisen the Movie: ""Shibuya Incident Special Edition"" x ""Culling Game Advance Screening""']"
701387,Bugonia,2025.0,['Bugonia']
203101,学園黙示録 HIGHSCHOOL OF THE DEAD ドリフターズ・オブ・ザ・デッド,2011.0,"['High School of the Dead: Drifters of the Dead', '学園黙示録 HIGHSCHOOL OF THE DEAD ドリフターズ・オブ・ザ・デッド']"
1311031,Demon Slayer: Kimetsu no Yaiba Castelo Infinito,2025.0,"['劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来', 'Demon Slayer -Kimetsu no Yaiba- the Movie: Infinity Castle']"
425274,Truque de Mestre: O 3° Ato,2025.0,"[""Now You See Me: Now You Don't""]"
269149,Zootopia: Essa Cidade é o Bicho,2016.0,['Zootopia']
1248226,Um Dia Fora de Controle,2025.0,['Playdate']
1327862,Se Não Fosse Você,2025.0,['Regretting You']
803796,Guerreiras do K-Pop,2025.0,['KPop Demon Hunters']
1426968,Ya no quedan junglas,2025.0,"['The Gentleman', 'Ya no quedan junglas']"
1130276,O Jogo da Tentação,2024.0,['Succubus']
1244531,Beast of War,2025.0,['Beast of War']
1481331,Nahual,2025.0,['Nahual']
1197137,O Telefone Preto 2,2025.0,['Black Phone 2']
1128650,O Promotor,2024.0,"['誤判', 'Misjudgement']"
1218925,Chainsaw Man – O Filme: Arco da Reze,2025.0,"['Chainsaw Man – The Movie: Reze Arc', '劇場版 チェンソーマン レゼ篇']"
1026821,大雨,2024.0,"['The Storm', '大雨']"
1084222,Caçada Sangrenta,2024.0,['Operation Blood Hunt']
1296504,Stand Your Ground,2025.0,['Stand Your Ground']
