id,titulo,ano_lancamento,classificacao
1,Cowboy Bebop,1998.0,16
6,Trigun,1998.0,12
7,Witch Hunter Robin,2002.0,12
8,Beet the Vandel Buster,2004.0,10
15,Eyeshield 21,2005.0,12
16,Honey and Clover,2005.0,12
17,Hungry Heart: Wild Striker,2002.0,12
19,Monster,2004.0,18
20,Naruto,2002.0,12
21,One Piece,1999.0,12
22,The Prince of Tennis,2001.0,12
23,Ring ni Kakero 1,2004.0,10
24,School Rumble,2004.0,12
25,Desert Punk,2004.0,16
26,Texhnolyze,2003.0,18
27,Trinity Blood,2005.0,16
28,Yakitate!! Japan,2004.0,12
29,Zipang,2004.0,12
30,Neon Genesis Evangelion,1995.0,12
33,Berserk,1997.0,18
45,Rurouni Kenshin,1996.0,12
48,.hack//Sign,2002.0,12
50,Ah! My Goddess,2005.0,12
52,Battle Doll Angelic Layer,2001.0,12
53,Ai Yori Aoshi,2002.0,12
55,Arc the Lad,1999.0,16
56,Avenger,2003.0,16
57,Beck: Mongolian Chop Squad,2004.0,16
58,Blue Gender,1999.0,18
59,Chobits,2002.0,12
60,Chrono Crusade,2003.0,16
61,D.N.Angel,2003.0,12
62,D.C.~Da Capo~,2003.0,12
63,DearS,2004.0,18
64,Rozen Maiden,2004.0,12
66,Azumanga Daioh: The Animation,2002.0,12
67,Basilisk,2005.0,16
68,Black Cat,2005.0,12
69,Cluster Edge,2005.0,12
71,Full Metal Panic!,2002.0,16
74,Gakuen Alice,2004.0,0
75,Fafner,2004.0,12
76,Magical Girl Lyrical Nanoha,2004.0,12
79,Shuffle!,2005.0,18
80,Mobile Suit Gundam,1979.0,12
85,Mobile Suit Zeta Gundam,1985.0,12
86,Mobile Suit Gundam ZZ,1986.0,12
89,Mobile Suit Victory Gundam,1993.0,12
90,Mobile Suit Gundam Wing,1995.0,12
92,After War Gundam X,1996.0,12
93,Mobile Suit Gundam SEED,2002.0,16
95,∀ Gundam,1999.0,12
96,Mobile Fighter G Gundam,1994.0,12
97,Last Exile,2003.0,12
98,My-Hime,2004.0,12
99,My-Otome,2005.0,12
100,Prétear: The New Legend of Snow White,2001.0,12
101,Air,2005.0,12
102,"Babe, My Love",2004.0,12
