id,titulo,ano_lancamento,classificacao
1084242,Zootopia 2,2025.0,10.0
1363123,Plano em Família 2,2025.0,14.0
967941,Wicked: Parte II,2025.0,10.0
1246049,Drácula - Uma História de Amor Eterno,2025.0,16.0
1196573,Fuga Fatal,2025.0,14.0
1242898,Predador: Terras Selvagens,2025.0,16.0
755898,A Guerra dos Mundos,2025.0,12.0
1116465,A Lenda: Em Busca do Medalhão Sagrado,2024.0,14.0
1054867,Uma Batalha Após a Outra,2025.0,16.0
425274,Truque de Mestre: O 3° Ato,2025.0,12.0
269149,Zootopia: Essa Cidade é o Bicho,2016.0,0.0
1248226,Um Dia Fora de Controle,2025.0,12.0
1327862,Se Não Fosse Você,2025.0,16.0
803796,Guerreiras do K-Pop,2025.0,10.0
7451,Triplo X,2002.0,14.0
1241983,Sonhos de Trem,2025.0,14.0
402431,Wicked,2024.0,10.0
617126,Quarteto Fantástico: Primeiros Passos,2025.0,12.0
1038392,Invocação do Mal - O Último Ritual,2025.0,16.0
1218762,Feliz Assalto!,2025.0,12.0
1522377,"Dois Mundos, Um Desejo",2025.0,12.0
575265,Missão: Impossível - O Acerto Final,2025.0,14.0
1242419,O Bom Bandido,2025.0,14.0
1429738,Tee Yai: Nascido para o Mal,2025.0,16.0
1234821,Jurassic World: Recomeço,2025.0,14.0
1061474,Superman,2025.0,14.0
24428,Os Vingadores: The Avengers,2012.0,12.0
911430,F1 - O Filme,2025.0,12.0
957119,O Bad Boy e Eu,2025.0,12.0
1156594,Nossa Culpa,2025.0,16.0
83533,Avatar: Fogo e Cinzas,2025.0,14.0
1214130,Frankie e os Monstros,2025.0,0.0
1175942,Os Caras Malvados 2,2025.0,0.0
1087192,Como Treinar o Seu Dragão,2025.0,10.0
157336,Interestelar,2014.0,10.0
1007734,Anônimo 2,2025.0,16.0
1035259,Corra Que a Polícia Vem Aí!,2025.0,14.0
1117857,Nos Seus Sonhos,2025.0,0.0
1316147,Grand Prix: A Toda Velocidade,2025.0,0.0
1096563,O Fim da Lealdade,2023.0,16.0
533533,Tron: Ares,2025.0,12.0
1142101,A Vingança Não é um Jogo,2024.0,14.0
552524,Lilo & Stitch,2025.0,10.0
1010756,Os Estranhos: Capítulo 2,2025.0,16.0
980477,Ne Zha 2: O Renascer da Alma,2025.0,14.0
8871,O Grinch,2000.0,0.0
474350,IT: Capítulo Dois,2019.0,16.0
1022787,Elio,2025.0,0.0
1022789,Divertida Mente 2,2024.0,0.0
597,Titanic,1997.0,12.0
950387,Um Filme Minecraft,2025.0,10.0
372058,Your name.,2016.0,0.0
76600,Avatar: O Caminho da Água,2022.0,14.0
1280282,A Casa Mágica da Gabby: O Filme,2025.0,0.0
346364,It: A Coisa,2017.0,16.0
1517874,Novembro,2025.0,14.0
27205,A Origem,2010.0,14.0
950396,Entre Montanhas,2025.0,14.0
674,Harry Potter e o Cálice de Fogo,2005.0,10.0
155,Batman: O Cavaleiro das Trevas,2008.0,12.0
120,O Senhor dos Anéis: A Sociedade do Anel,2001.0,12.0
941109,Jogo Sujo,2025.0,14.0
1197306,Resgate Implacável,2025.0,16.0
1376434,Predador: Assassino de Assassinos,2025.0,16.0
673,Harry Potter e o Prisioneiro de Azkaban,2004.0,12.0
41515,Zé Colmeia: O Filme,2010.0,0.0
772,Esqueceram de Mim 2: Perdido em Nova York,1992.0,0.0
238,O Poderoso Chefão,1972.0,14.0
1125257,Uma Sexta-Feira Mais Louca Ainda,2025.0,10.0
845781,Operação Natal,2024.0,10.0
1233413,Pecadores,2025.0,16.0
1267319,Mantis,2025.0,16.0
808,Shrek,2001.0,0.0
760329,Coração de Lutador: The Smashing Machine,2025.0,16.0
986056,Thunderbolts*,2025.0,14.0
1208348,Família de Aluguel,2025.0,12.0
675,Harry Potter e a Ordem da Fênix,2007.0,0.0
502356,Super Mario Bros. O Filme,2023.0,0.0
634649,Homem-Aranha: Sem Volta Para Casa,2021.0,12.0
299536,Vingadores: Guerra Infinita,2018.0,12.0
1267905,Os Roses: Até Que a Morte Os Separe,2025.0,16.0
1401318,Um Natal Ex-pecial,2025.0,10.0
539972,Kraven: O Caçador,2024.0,16.0
1011477,Karatê Kid: Lendas,2025.0,12.0
1160360,"Se Eu Tivesse Pernas, Te Chutaria",2025.0,14.0
1299209,O Filho de Mil Homens,2025.0,16.0
1328803,Prisioneiro de Guerra,2025.0,16.0
13,Forrest Gump: O Contador de Histórias,1994.0,14.0
1404791,Dollhouse,2025.0,16.0
1245347,Twinless - Um Gêmeo a Menos,2025.0,16.0
411,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",2005.0,12.0
291805,Truque de Mestre 2,2016.0,12.0
12444,Harry Potter e as Relíquias da Morte - Parte 1,2010.0,10.0
603,Matrix,1999.0,12.0
912649,Venom: A Última Rodada,2024.0,14.0
