id,titulo,ano_lancamento,classificacao
72,Portal 2,2011.0,12.0
71,Portal,2007.0,12.0
233,Half-Life 2,2004.0,16.0
7346,The Legend of Zelda: Breath of the Wild,2017.0,12.0
231,Half-Life,1998.0,16.0
501,Batman: Arkham City,2011.0,16.0
500,Batman: Arkham Asylum,2009.0,16.0
7331,Uncharted 4: A Thief's End,2016.0,16.0
11156,Horizon Zero Dawn,2017.0,16.0
565,Uncharted 2: Among Thieves,2009.0,16.0
1029,The Legend of Zelda: Ocarina of Time,1998.0,12.0
121,Minecraft: Java Edition,2011.0,10.0
19565,Marvel's Spider-Man,2018.0,16.0
14593,Hollow Knight,2017.0,10.0
1074,Super Mario 64,1996.0,0.0
1070,Super Mario World,1990.0,10.0
119133,Elden Ring,2022.0,16.0
7599,Life is Strange,2015.0,16.0
11133,Dark Souls III,2016.0,16.0
623,Call of Duty 4: Modern Warfare,2007.0,16.0
26758,Super Mario Odyssey,2017.0,10.0
7334,Bloodborne,2015.0,16.0
12517,Undertale,2015.0,12.0
1068,Super Mario Bros. 0,1988.0,0.0
1026,The Legend of Zelda: A Link to the Past,1991.0,10.0
17000,Stardew Valley,2016.0,12.0
2155,Dark Souls,2011.0,16.0
427,Final Fantasy VII,1997.0,12.0
1331,Limbo,2010.0,16.0
132,Warcraft III: Reign of Chaos,2002.0,12.0
59,The Elder Scrolls IV: Oblivion,2006.0,16.0
113112,Hades,2020.0,12.0
126,Diablo II,2000.0,16.0
512,Uncharted 0: Drake's Deception,2011.0,16.0
7344,Ori and the Blind Forest,2015.0,10.0
116,Star Wars: Knights of the Old Republic,2003.0,12.0
26226,Celeste,2018.0,10.0
358,Super Mario Bros.,1985.0,0.0
1802,Chrono Trigger,1995.0,12.0
2207,Shadow of the Colossus,2005.0,12.0
1384,Hotline Miami,2012.0,16.0
379,Metal Gear Solid 0 Snake Eater,2004.0,16.0
1077,Super Mario Galaxy,2007.0,0.0
230,StarCraft,1998.0,16.0
431,Uncharted: Drake's Fortune,2007.0,16.0
8173,Overwatch,2016.0,12.0
11198,Rocket League,2015.0,0.0
9730,Firewatch,2016.0,16.0
1352,Journey,2012.0,10.0
866,Sid Meier's Civilization V,2010.0,12.0
481,Silent Hill 2,2001.0,16.0
239,StarCraft II: Wings of Liberty,2010.0,16.0
1627,Super Smash Bros. Melee,2001.0,0.0
343,Battlefield 0,2011.0,16.0
9927,Persona 5,2016.0,16.0
622,Call of Duty 2,2005.0,16.0
327,Age of Empires II: The Age of Kings,1999.0,12.0
