id,titulo,ano_lancamento,classificacao
13,One Piece,1997.0,12
121496,Solo Leveling,2018.0,16
44347,One Punch-Man,2012.0,16
4632,Oyasumi Punpun,2007.0,16
113138,Jujutsu Kaisen,2018.0,12
96792,Kimetsu no Yaiba,2016.0,12
75989,Boku no Hero Academia,2014.0,12
656,Vagabond,1998.0,16
11,Naruto,1999.0,12
21,Death Note,2003.0,12
12,Bleach,2001.0,12
42451,Horimiya,2011.0,12
642,Vinland Saga,2005.0,16
100128,Yakusoku no Neverland,2016.0,12
119161,Spy x Family,2019.0,12
25,Fullmetal Alchemist,2001.0,12
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,2004.0,16
26,Hunter x Hunter,1998.0,12
3,20th Century Boys,1999.0,16
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,2015.0,16
56805,Koe no Katachi,2013.0,12
1,Monster,1994.0,16
598,Fairy Tail,2006.0,12
99007,"Komi-san wa, Comyushou desu.",2016.0,12
436,Uzumaki,1998.0,16
104565,Tokyo卍Revengers,2017.0,12
86337,Black Clover,2015.0,12
35243,Haikyuu!!,2012.0,12
3009,JoJo no Kimyou na Bouken Part 6: Stone Ocean,1999.0,12
114745,Blue Lock,2018.0,12
126146,[Oshi no Ko],2020.0,16
103897,Dr. Stone,2017.0,12
122663,Tower of God,2010.0,16
31499,Nisekoi,2011.0,12
908,Soul Eater,2003.0,12
135496,Dandadan,2021.0,12
24294,Ao Haru Ride,2011.0,12
70345,Grand Blue,2014.0,16
24692,Noragami,2010.0,12
51,Slam Dunk,1990.0,12
16765,Kingdom,2006.0,16
112268,Sono Bisque Doll wa Koi wo Suru,2018.0,16
3031,Pandora Hearts,2006.0,12
100448,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",2016.0,12
336,GTO,1996.0,16
127907,Kaijuu 8-gou,2020.0,12
44485,Nanatsu no Taizai,2012.0,12
112318,Jigokuraku,2018.0,12
45757,Shokugeki no Souma,2012.0,16
9711,Bakuman.,2008.0,12
110737,"Ijiranaide, Nagatoro-san",2017.0,16
91941,Made in Abyss,2012.0,16
24705,Aku no Hana,2009.0,12
42,Dragon Ball,1984.0,12
103851,5-toubun no Hanayome,2017.0,12
149,Blame!,1997.0,16
104,Yotsuba to!,2003.0,16
78523,ReLIFE,2013.0,16
2921,Kaichou wa Maid-sama!,2005.0,12
25515,JoJo no Kimyou na Bouken Part 8: JoJolion,2011.0,16
