titulo,ano_lancamento,categoria,generos,generos_unificados,rating,num_avaliacoes,imagem,descricao,metadata,classificacao
Ana Carolina,0,artista_musical,"[""mpb"", ""brazilian pop"", ""new mpb""]",[],3.4,1664303,https://i.scdn.co/image/ab6761610000e5eb787e90f9431758e97ab8e95d,Artista importado via Spotify API.,"{""spotify_id"": ""4HP9KltldfmkH2M2pQozzN"", ""popularidade_raw"": 60, ""tipo"": ""artista""}",10
Fogueira em Alto Mar,2019,album_musical,"[""mpb"", ""brazilian pop"", ""new mpb""]",[],2.6,0,https://i.scdn.co/image/ab67616d0000b273c56999c80de060469d419393,Álbum de Ana Carolina,"{""id_artista_spotify"": ""4HP9KltldfmkH2M2pQozzN"", ""nome_artista"": ""Ana Carolina"", ""spotify_id"": ""0nnDYcbfI9goEYxDNMt5qU"", ""total_faixas"": 11, ""gravadora"": ""Sony Music Entertainment"", ""tipo"": ""album""}",10
#AC Ao Vivo (Deluxe),2015,album_musical,"[""mpb"", ""brazilian pop"", ""new mpb""]",[],2.9,0,https://i.scdn.co/image/ab67616d0000b273e579dc78d1040be1dcb7f2a9,Álbum de Ana Carolina,"{""id_artista_spotify"": ""4HP9KltldfmkH2M2pQozzN"", ""nome_artista"": ""Ana Carolina"", ""spotify_id"": ""5fiTBlpoxM8nyjvkaIPdy6"", ""total_faixas"": 24, ""gravadora"": ""Sony Music Entertainment"", ""tipo"": ""album""}",10
#AC,2014,album_musical,"[""mpb"", ""brazilian pop"", ""new mpb""]",[],2.7,0,https://i.scdn.co/image/ab67616d0000b2730e36efa36d94e08830969639,Álbum de Ana Carolina,"{""id_artista_spotify"": ""4HP9KltldfmkH2M2pQozzN"", ""nome_artista"": ""Ana Carolina"", ""spotify_id"": ""2ruokwyVaHiP2p0S3vylEb"", ""total_faixas"": 13, ""gravadora"": ""Sony Music Entertainment"", ""tipo"": ""album""}",10
Ensaio de Cores,2011,album_musical,"[""mpb"", ""brazilian pop"", ""new mpb""]",[],2.8,0,https://i.scdn.co/image/ab67616d0000b27384f8d06cb2099bf02cafec35,Álbum de Ana Carolina,"{""id_artista_spotify"": ""4HP9KltldfmkH2M2pQozzN"", ""nome_artista"": ""Ana Carolina"", ""spotify_id"": ""6zzwuHXXsjlaFr43wXxkzb"", ""total_faixas"": 15, ""gravadora"": ""Sony Music Entertainment"", ""tipo"": ""album""}",10
Ana Car9lina+um,2010,album_musical,"[""mpb"", ""brazilian pop"", ""new mpb""]",[],2.7,0,https://i.scdn.co/image/ab67616d0000b273f76c8145fadd092248fce57b,Álbum de Ana Carolina,"{""id_artista_spotify"": ""4HP9KltldfmkH2M2pQozzN"", ""nome_artista"": ""Ana Carolina"", ""spotify_id"": ""3r0ypl8NuiWRT0tz3HuGdV"", ""total_faixas"": 10, ""gravadora"": ""Sony Music Entertainment"", ""tipo"": ""album""}",10
Nove,2009,album_musical,"[""mpb"", ""brazilian pop"", ""new mpb""]",[],2.6,0,https://i.scdn.co/image/ab67616d0000b2734420363ed77670807ea8b633,Álbum de Ana Carolina,"{""id_artista_spotify"": ""4HP9KltldfmkH2M2pQozzN"", ""nome_artista"": ""Ana Carolina"", ""spotify_id"": ""3Cey8LcLwLoeIKpCMjBrgY"", ""total_faixas"": 9, ""gravadora"": ""Sony Music Entertainment"", ""tipo"": ""album""}",10
"Multishow Ao Vivo Ana Carolina ""Dois Quartos""",2008,album_musical,"[""mpb"", ""brazilian pop"", ""new mpb""]",[],2.6,0,https://i.scdn.co/image/ab67616d0000b2730aea5f91503076b7cd5b368b,Álbum de Ana Carolina,"{""id_artista_spotify"": ""4HP9KltldfmkH2M2pQozzN"", ""nome_artista"": ""Ana Carolina"", ""spotify_id"": ""2kNB4iyZISIGxejLejf9tL"", ""total_faixas"": 15, ""gravadora"": ""Sony Music Entertainment"", ""tipo"": ""album""}",10
Quarto,2007,album_musical,"[""mpb"", ""brazilian pop"", ""new mpb""]",[],2.2,0,https://i.scdn.co/image/ab67616d0000b273d25aba47c27598ae5a19a34d,Álbum de Ana Carolina,"{""id_artista_spotify"": ""4HP9KltldfmkH2M2pQozzN"", ""nome_artista"": ""Ana Carolina"", ""spotify_id"": ""2PsUpDpOCqSnWYj9kTSIPn"", ""total_faixas"": 12, ""gravadora"": ""Sony BMG Music Entertainment"", ""tipo"": ""album""}",10
Quartinho,2007,album_musical,"[""mpb"", ""brazilian pop"", ""new mpb""]",[],1.8,0,https://i.scdn.co/image/ab67616d0000b27397f95c58de929b259ed5eeff,Álbum de Ana Carolina,"{""id_artista_spotify"": ""4HP9KltldfmkH2M2pQozzN"", ""nome_artista"": ""Ana Carolina"", ""spotify_id"": ""5LgRlj15u5PCU72TPoy1qn"", ""total_faixas"": 12, ""gravadora"": ""Sony BMG Music Entertainment"", ""tipo"": ""album""}",10
