id,titulo,ano_lancamento,metadata
66732,Stranger Things,2016.0,"{'tmdb_id': 66732, 'duracao_media': 0, 'criadores': 'Ross Duffer, Matt Duffer', 'elenco_principal': 'Millie Bobby Brown, Winona Ryder, David Harbour', 'total_temporadas': 5}"
200875,IT: Bem-Vindos a Derry,2025.0,"{'tmdb_id': 200875, 'duracao_media': 0, 'criadores': 'Andy Muschietti, Barbara Muschietti, Jason Fuchs', 'elenco_principal': 'Taylour Paige, Jovan Adepo, Matilda Lawler', 'total_temporadas': 1}"
240459,Spartacus: House of Ashur,2025.0,"{'tmdb_id': 240459, 'duracao_media': 0, 'criadores': 'Steven S. DeKnight', 'elenco_principal': 'Nick E. Tarabay, Graham McTavish, Tenika Davis', 'total_temporadas': 1}"
279601,Homem X Bebê,2025.0,"{'tmdb_id': 279601, 'duracao_media': 0, 'criadores': 'Rowan Atkinson, William Davies', 'elenco_principal': 'Rowan Atkinson, Claudie Blakley, Alanah Bloor', 'total_temporadas': 1}"
1416,Grey's Anatomy,2005.0,"{'tmdb_id': 1416, 'duracao_media': 0, 'criadores': 'Shonda Rhimes', 'elenco_principal': 'Ellen Pompeo, Chandra Wilson, James Pickens Jr.', 'total_temporadas': 22}"
1622,Supernatural,2005.0,"{'tmdb_id': 1622, 'duracao_media': 45, 'criadores': 'Eric Kripke', 'elenco_principal': 'Jared Padalecki, Jensen Ackles, Misha Collins', 'total_temporadas': 15}"
2734,Lei & Ordem: Unidade de Vítimas Especiais,1999.0,"{'tmdb_id': 2734, 'duracao_media': 0, 'criadores': 'Dick Wolf', 'elenco_principal': 'Mariska Hargitay, Ice-T, Kelli Giddish', 'total_temporadas': 27}"
456,Os Simpsons,1989.0,"{'tmdb_id': 456, 'duracao_media': 22, 'criadores': 'Matt Groening', 'elenco_principal': 'Dan Castellaneta, Julie Kavner, Nancy Cartwright', 'total_temporadas': 37}"
79744,O Novato,2018.0,"{'tmdb_id': 79744, 'duracao_media': 0, 'criadores': 'Alexi Hawley', 'elenco_principal': ""Nathan Fillion, Melissa O'Neil, Eric Winter"", 'total_temporadas': 8}"
1399,Game of Thrones,2011.0,"{'tmdb_id': 1399, 'duracao_media': 0, 'criadores': 'David Benioff, D. B. Weiss', 'elenco_principal': 'Peter Dinklage, Kit Harington, Nikolaj Coster-Waldau', 'total_temporadas': 8}"
4614,NCIS: Investigação Naval,2003.0,"{'tmdb_id': 4614, 'duracao_media': 0, 'criadores': 'Don McGill, Donald P. Bellisario', 'elenco_principal': 'Sean Murray, Wilmer Valderrama, Katrina Law', 'total_temporadas': 23}"
259886,A Guerra Entre a Terra e o Mar,2025.0,"{'tmdb_id': 259886, 'duracao_media': 0, 'criadores': 'Russell T Davies', 'elenco_principal': 'Russell Tovey, Gugu Mbatha-Raw, Jemma Redgrave', 'total_temporadas': 1}"
34307,Shameless,2011.0,"{'tmdb_id': 34307, 'duracao_media': 0, 'criadores': 'Paul Abbott, John Wells', 'elenco_principal': 'William H. Macy, Jeremy Allen White, Ethan Cutkosky', 'total_temporadas': 11}"
225171,Pluribus,2025.0,"{'tmdb_id': 225171, 'duracao_media': 0, 'criadores': 'Vince Gilligan', 'elenco_principal': 'Rhea Seehorn, Karolina Wydra, Carlos Manuel Vesga', 'total_temporadas': 1}"
