id,titulo,ano_lancamento,generos,generos_unificados,rating,num_avaliacoes,imagem,descricao,metadados
1,Cowboy Bebop,1998,"['Action', 'Award Winning', 'Sci-Fi']","['Ação & Aventura', 'Sci-Fi & Fantasia']",8.75,519982.0,https://cdn.myanimelist.net/images/anime/4/19644.jpg,"Spike Spiegel, um rapaz com o passado misterioso e Jet Black, um  ex-policial, se unem para ir atrás de criminosos que possuem a cabeça a  prêmio, dentro da nave “Bebop”. Ao longo do caminho eles se encontram  com personagens nada comuns, um cão muito raro que possui grande  inteligência, Ein, a gananciosa e fatal Feye Valentine e muitos outros.","{'id_original': 1, 'episodios': 26}"
6,Trigun,1998,"['Action', 'Adventure', 'Sci-Fi']","['Ação & Aventura', 'Sci-Fi & Fantasia']",8.22,197389.5,https://cdn.myanimelist.net/images/anime/1130/120002.jpg," Vash the Stampede é um atirador em fuga com uma recompensa de 60 bilhões de dólares por sua cabeça, o que tornou difícil para ele ir a qualquer lugar sem ser perseguido e baleado. Cada cidade que ele visita acaba sendo destruída por causa de seus perseguidores, mas milagrosamente ninguém é morto. Meryl e Milly são dois agentes de seguros que foram enviados para encontrar Vash the Stampede e mantê-lo sob vigilância para que nenhum dano seja causado. Meryl, que lidera a dupla, se recusa a acreditar que o homem que conheceram pode ser o lendário atirador. Este jovem de cabelos espetados, desengonçado, é extremamente amigável, pacifista, odeia sangue e suicídio, adora rosquinhas e é um idiota e um bebê chorão (longe de ser um notório fora-da-lei). Mas há mais em Vash e seu passado do que aparenta.","{'id_original': 6, 'episodios': 26}"
7,Witch Hunter Robin,2002,"['Action', 'Drama', 'Mystery', 'Supernatural']","['Terror & Suspense', 'Drama & Narrativo', 'Ação & Aventura', 'Sci-Fi & Fantasia', 'Estratégia & Puzzle']",7.23,22939.0,https://cdn.myanimelist.net/images/anime/10/19969.jpg,"O anime se passa em pleno século XX onde as bruxas fazem parte da realidade. Algumas existem sem consciência do que são, ou do poder que têm, outras usam esse poder para ganhos pessoais. No entanto, ainda existem aquelas que usam o poder para tentar quebrar as leis. Para isso foi criado o grupo STN-J, formado pela organização secreta conhecida como STN. Esta organização é composta por bruxos e bruxas, formando assim um círculo de poder quase implacável contra outras bruxas que ameaçam Tóquio. Quando um dos integrantes da equipe é morto sob circunstâncias um pouco suspeitas, é destacado então um novo e poderoso membro para o grupo, capaz de manipular o elemento do fogo. É aqui que surge a protagonista principal da história, Robin. Ela é capaz de colocar qualquer coisa ou pessoa em chamas só com o seu olhar.","{'id_original': 7, 'episodios': 26}"
8,Beet the Vandel Buster,2004,"['Action', 'Adventure', 'Fantasy']","['Ação & Aventura', 'Sci-Fi & Fantasia']",6.92,3494.5,https://cdn.myanimelist.net/images/anime/7/21569.jpg,"É a era das trevas, e as pessoas estão sofrendo nas mãos do demônios chamados Vandels. Os Vandel Busters são um grupo de caçadores, que lutam contra esses monstros Vandels.  Um jovem, chamado Beet, tinha um sonho em entrar no grupo Guerreiros Zenon, o grupo mais forte que luta contra as forças dos Vandels. Mas por causa de um erro de Beet, os guerreiros de Zenon são derrotados pelo rei das atrocidades, Beltose. Na luta os cinco guerreiros se sacrificam e repassam suas armas, as Saigas, para salvarem Beet, e agora ele tem que carregar o fardo de dar um fim a essta era das trevas.","{'id_original': 8, 'episodios': 52}"
15,Eyeshield 21,2005,['Sports'],[],7.91,46349.5,https://cdn.myanimelist.net/images/anime/1079/133529.jpg,"Kobayakawa Sena é um rapaz que sempre é escolhido pela bullies na escola. Desde o ensino fundamental, ele sempre teve o papel de ""garoto de recados"" na medida que foi passando tornou-se rápido e fácil em seus movimentos. Coincidentemente, Youichi Hiruma e Ryukan Kurita estão procurando um corredor para a sua equipe de futebol americano (Deimon Devil Bats) e quer colocar Sena no time. Para esconder seu novo jogador ""estrela"" dos olhos dos outros High Schools, Hiruma entrega a Sena um capacete com uma viseira do Deimon Devil Bats escura e o nomeia Eyeshield #21.","{'id_original': 15, 'episodios': 145}"
16,Honey and Clover,2005,"['Comedy', 'Drama', 'Romance']","['Drama & Narrativo', 'Comédia & Slice of Life', 'Romance']",7.98,43186.0,https://cdn.myanimelist.net/images/anime/1301/133577.jpg,"Yuta, Takumi e Shinobu são três rapazes vivendo no mesmo prédio e que frequentam a universidade de artes de Tokyo. Um dia, um de seus professores lhes apresenta a filha de um primo, Hagumi, inicialmente muito tímida, que vem viver com ele. Yuta, e Shinobu, se apaixonam imediatamente por ela, embora tenham diferentes maneiras de expressar seu amor. Ayumi, a outra menina do grupo, frequenta o curso de cerâmica e é muito popular entre os rapazes embora só tenha olhos para Takumi, que apenas a considera uma amiga. O amor de Takumi, é uma mulher mais velha com quem trabalha, que é muito amiga de seu professor. Ao longo do anime acompanhamos o desenrolar desses triângulos amorosos, da amizade entre as personagens, sua saída da universidade e seus primeiros empregos.","{'id_original': 16, 'episodios': 24}"
17,Hungry Heart: Wild Striker,2002,['Sports'],[],7.54,7028.0,https://cdn.myanimelist.net/images/anime/12/49655.jpg,"Hungry Heart conta a história de Kyosuke Kanou, um adolescente de 16 anos, que estuda na escola secundária de Jyoyo Akanegaoka . Kyosuke também é o irmão caçula do principal jogador do AC Milan, Seisuke Kanou. Kyosuke jogava futebol quando era menor, mas parou por ser comparado demais ao irmão e achar que nunca poderia jogar igual a ele. Porém, contra sua vontade, foi escolhido para ser o treinador da equipe feminina do Outeiro, cuja capitã é Miki Tsujiwaki. Miki e Kyosuke tornam-se grandes amigos ao longo da série. O garoto porém abandona o cargo na equipe feminina e junta-se aos também novatos Sakai e Rodrigo na busca por uma vaga na equipe titular masculina do Outeiro Laranja. Aí começa a trilha de Kyosuke para encontrar seu lugar no mundo do futebol sem a sombra do seu irmão maior. Kyosuke tem um chute impressionate, que é admirado por muitos jogadores que já viu, o Chute Laranja, muitos acredita que esse chute só pode ser utilizado quando Kyosuke quer muito ajudar o time.","{'id_original': 17, 'episodios': 52}"
19,Monster,2004,"['Drama', 'Mystery', 'Suspense']","['Drama & Narrativo', 'Terror & Suspense', 'Estratégia & Puzzle']",8.89,245055.5,https://cdn.myanimelist.net/images/anime/10/18793.jpg,"Kenzou Tenma tem uma habilidade inacreditável como cirurgião cerebral, uma noiva linda e rica e uma promissora carreira. Entretanto, após ficar desiludido com as políticas impostas em seu hospital, decide salvar a vida de um jovem garoto que foi baleado na cabeça a salvar a vida do prefeito da cidade, já que o garoto havia chegado primeiro, contrariando o alto escalão do hospital. Por conseqüência, perde o apoio que tinha do diretor do hospital, assim como sua posição no hospital e sua noiva. Pouco tempo depois, o diretor do hospital e os médicos que o substituíram são misteriosamente assassinados e mais uma vez ele volta para o topo onde estava. Mas como suspeito de chefiar os assassinatos, Tenma inicia um processo para limpar seu nome e corrigir os erros do passado, indo ao fundo desses e outros assassinatos e investigar a verdade atrás do monstro por de trás de tudo isso.","{'id_original': 19, 'episodios': 74}"
20,Naruto,2002,"['Action', 'Adventure', 'Fantasy']","['Ação & Aventura', 'Sci-Fi & Fantasia']",8.02,1050441.5,https://cdn.myanimelist.net/images/anime/1141/142503.jpg,"Momentos antes do nascimento de Naruto Uzumaki, um enorme demônio conhecido como o Kyuubi, a Raposa de Nove Caudas, atacou o vilarejo da folha oculta Konoha, causando destruição. Para pôr fim à devastação de Kyuubi, o líder da aldeia, o quarto Hokage, sacrificou sua vida e selou o monstruoso animal dentro do recém-nascido Naruto. Agora, Naruto é um ninja hiperativo e cabeça dura que ainda vivem em Konoha. Evitado pelos demais habitantes por causa da Kyuubi dentro dele, Naruto se esforça para encontrar seu lugar na aldeia, enquanto o seu ardente desejo de se tornar o Hokage de Konoha o leva a conhecer alguns grandes novos amigos, e também alguns inimigos mortais.","{'id_original': 20, 'episodios': 220}"
21,One Piece,1999,"['Action', 'Adventure', 'Fantasy']","['Ação & Aventura', 'Sci-Fi & Fantasia']",8.73,741359.0,https://cdn.myanimelist.net/images/anime/1244/138851.jpg,"Houve um homem que conquistou tudo aquilo que o mundo tinha a oferecer, o lendário Rei dos Piratas, Gold Roger. Capturado e condenado à execução pelo Governo Mundial, suas últimas palavras lançaram legiões aos mares. ""Meu tesouro? Se quiserem, podem pegá-lo. Procurem-no! Ele contém tudo que este mundo pode oferecer!"". Foi a revelação do maior tesouro, o One Piece, cobiçado por homens de todo o mundo, sonhando com fama e riqueza imensuráveis... Assim começou a Grande Era dos Piratas!","{'id_original': 21, 'episodios': None}"
