titulo,ano_lancamento,generos,rating,num_avaliacoes,imagem,descricao,metadata
Harry Potter e a Pedra Filosofal,2000,"['series:Harry_Potter', 'Ghosts', 'Monsters', 'Vampires', 'Witches']",,0,https://covers.openlibrary.org/b/id/14512053-L.jpg,"Conheça Harry, filho de Tiago e Lílian Potter, feiticeiros que foram assassinados por um poderosíssimo bruxo, quando ele ainda era um bebê. Com isso, o menino acaba sendo levado para a casa dos tios que nada tinham a ver com o sobrenatural pelo contrário. Até os 10 anos, Harry foi uma espécie de gata borralheira: maltratado pelos tios, herdava roupas velhas do primo gorducho, tinha óculos remendados e era tratado como um estorvo. No dia de seu aniversário de 11 anos, entretanto, ele parece deslizar por um buraco sem fundo, como o de Alice no país das maravilhas, que o conduz a um mundo mágico. Descobre sua verdadeira história e seu destino: ser um aprendiz de feiticeiro até o dia em que terá que enfrentar a pior força do mal, o homem que assassinou seus pais, o terrível Lorde das Trevas. O menino de olhos verdes, magricela e desengonçado, tão habituado à rejeição, descobre, também, que é um herói no universo dos magos. Potter fica sabendo que é a única pessoa a ter sobrevivido a um ataque do tal bruxo do mal e essa é a causa da marca em forma de raio que ele carrega na testa. Ele não é um garoto qualquer, ele sequer é um feiticeiro qualquer; ele é Harry Potter, símbolo de poder, resistência e um líder natural entre os sobrenaturais.","{'autor': 'J.K. Rowling', 'isbn': '9788532511010', 'editora': 'EDITORA ROCCO LTDA.'}"
Dermatologia Clínica,,[],,0,,"Dermatologia clínica oferece, em uma única fonte, as informações mais atuais sobre o assunto, sendo referência indispensável a profissionais e estudantes da área.","{'autor': 'Desconhecido', 'isbn': '9788536304458', 'editora': 'Desconhecida'}"
Historical Papers in Nonlinear Programming,2012,"['Nonlinear programming', 'Mathematics', 'Computer science', 'Computational Science and Engineering', 'History of Mathematical Sciences']",,0,https://covers.openlibrary.org/b/id/7801704-L.jpg,,"{'autor': 'Giorgio Giorgi', 'isbn': '9783034804387', 'editora': 'Birkh User'}"
Pensar é Transgredir,2004,[],,0,https://covers.openlibrary.org/b/id/4919181-L.jpg,"Pensar é transgredir vai da preocupação com o social à inquietação pelo mistério da vida. Mas nele Lya Luft também deixa entrever um pouco do cotidiano em sua casa, revela coisas de sua infância e mostra seu lado bem-humorado, seguidamente comentado por quem a conhece pessoalmente. Fala do desafio que é podermos escrever uma parte da nossa história pessoal, e da dificuldade de sermos responsáveis por nossas escolhas; mas também escreve sobre ternura, alegria e perplexidade.","{'autor': 'Lya Luft', 'isbn': '8501069698', 'editora': 'Record'}"
Perdas & ganhos,2003,[],,0,https://covers.openlibrary.org/b/id/4314785-L.jpg,"Neste livro inédito, a autora alia memórias a uma delicada e sensível visão sobre o processo de envelhecimento da mulher. Busca dar um testemunho pessoal sobre a experiência do amadurecimento. Convoca o leitor para ser seu amigo imaginário: cúmplice e companheiro de reflexões que vão da infância à solidão e à morte, ao valor da vida e à transcendência de tudo. Lya divaga, discute e versa, com ímpeto, compaixão, e muitas vezes bom humor, sobre velhice, amor, infância, educação, família, liberdade, homens e mulheres, gente de verdade... e conclui que o tempo passa mas as emoções humanas não mudam, revelando que é preciso reaprender o que é ser feliz.","{'autor': 'Lya Fett Luft', 'isbn': '8501067113', 'editora': 'Editora Record'}"
Linear And Nonlinear Functional Analysis With Applications With 401 Problems And 52 Figures,2013,"['Functional analysis', 'Textbooks', 'Nonlinear functional analysis']",,0,https://covers.openlibrary.org/b/id/7639580-L.jpg,,"{'autor': 'Philippe G. Ciarlet', 'isbn': '9781611972580', 'editora': 'Society for Industrial & Applied Mathematics,'}"
Teoria da gramática,1992,['Comparative and general Grammar'],,0,,Coleção Universitária - série Linguística - dirigida por Maria Raquel Delgado Martins.,"{'autor': 'Eduardo Paiva Raposo', 'isbn': '9722107135', 'editora': 'Caminho'}"
Dermatologia Pediátrica,,[],,0,,"Oferece a mais prática fonte disponível para o diagnóstico de doenças cutâneas e doenças sistêmicas com manifestações na pele, tanto em crianças como em adolescentes.","{'autor': 'Desconhecido', 'isbn': '8536302631', 'editora': 'Desconhecida'}"
Sociedades indígenas,1986,['Indians of South America'],,0,,"As sociedades indígenas do continente sul-americano, o significado e a lógica das relações dos índios com o mundo natural, social e sobrenatural.","{'autor': 'Alcida Rita Ramos', 'isbn': '8508011741', 'editora': 'Editora Atica'}"
O Monge e o Executivo,2004,[],,0,https://covers.openlibrary.org/b/id/15096853-L.jpg,"Você está convidado a juntar-se a um grupo que durante uma semana vai estudar com um dos maiores especialistas em liderança dos Estados Unidos. Leonard Hoffman, um famoso empresário que abandonou sua brilhante carreira para se tornar monge em um mosteiro beneditino, é o personagem central desta envolvente história criada por James C. Hunter para ensinar de forma clara e agradável os princípios fundamentais dos verdadeiros líderes. Se você tem dificuldade em fazer com que sua equipe dê o melhor de si no trabalho e gostaria de se relacionar melhor com sua família e seus amigos, vai encontrar neste livro personagens, idéias e discussões que vão abrir um novo horizonte em sua forma de lidar com os outros. É impossível ler este livro sem sair transformado. O Monge e o Executivo é, sobretudo, uma lição sobre como se tornar uma pessoa melhor.","{'autor': 'Desconhecido', 'isbn': '9788575421024', 'editora': 'Sextante'}"
"Soldats de pierre, Tome 2 : Les Annales de la Compagnie noire",2006,"['series:The Black Company', 'series:The Books of Glittering Stone', 'dark fantasy', 'high fantasy']",,0,https://covers.openlibrary.org/b/id/8647568-L.jpg,,"{'autor': 'Glen Cook', 'isbn': '9782841723249', 'editora': ""L'Atalante Editions""}"
"Nonlinear Analysis, Differential Equations and Control",1999,"['Functional analysis', 'Mathematics', 'Differential equations, partial', 'Mathematical optimization', 'Distribution (Probability theory)']",,0,https://covers.openlibrary.org/b/id/8700146-L.jpg,,"{'autor': 'F. H. Clarke', 'isbn': '9780792356660', 'editora': 'Springer Netherlands'}"
Rêves d'acier,2001,"['series:The Black Company', 'series:The Books of the South', 'dark fantasy', 'high fantasy']",,0,https://covers.openlibrary.org/b/id/988153-L.jpg,,"{'autor': 'Glen Cook', 'isbn': '9782841721849', 'editora': ""L'Atalante""}"
A topological introduction to nonlinear analysis,2004,"['Nonlinear functional analysis', 'Topology', 'Analyse fonctionnelle nonlinéaire', 'Mathematics', 'Functional analysis']",,0,https://covers.openlibrary.org/b/id/1552959-L.jpg,,"{'autor': 'Robert F. Brown', 'isbn': '9780817632588', 'editora': 'Birkhäuser'}"
O amor é a melhor estratégia,2003,"['Sucesso nos negocios', 'Comportamento organizacional', 'Psicologia industrial']",,0,https://covers.openlibrary.org/b/id/12812155-L.jpg,"Gênero: Auto-Ajuda > Desenvolvimento Profissional Ter um trabalho gratificante, ganhar o respeito e a amizade dos colegas, ser capaz de aprender sempre mais, fazer mais negócios, influenciar positivamente as pessoas -- estes são os temas de O Amor É a Melhor Estratégia. Tim Sanders apresenta neste livro os três pilares do sucesso e da realização profissional: conhecimento (que você acumula com sua experiência e, principalmente, através da leitura), rede de relacionamentos (os amigos e contatos que já possui, mas que tem de cultivar) e compaixão (o calor umano que é capaz de transmitir aos outros).","{'autor': 'Tim Sanders', 'isbn': '8575420585', 'editora': 'Sextante'}"
O Crime de Lord Arthur Savile e O Fantasma de Canterville,1996,[],,0,,,"{'autor': 'Oscar Wilde', 'isbn': '8500001240', 'editora': 'Ediouro'}"
