id,titulo,ano_lancamento,classificacao
66732,Stranger Things,2016.0,16
200875,IT: Bem-Vindos a Derry,2025.0,18
240459,Spartacus: House of Ashur,2025.0,16
279601,Homem X Bebê,2025.0,10
1416,Grey's Anatomy,2005.0,14
1622,Supernatural,2005.0,14
2734,Lei & Ordem: Unidade de Vítimas Especiais,1999.0,16
456,Os Simpsons,1989.0,12
79744,O Novato,2018.0,14
1399,Game of Thrones,2011.0,16
4614,NCIS: Investigação Naval,2003.0,14
259886,A Guerra Entre a Terra e o Mar,2025.0,
34307,Shameless,2011.0,16
225171,Pluribus,2025.0,16
1405,Dexter,2006.0,18
210318,Os Garotos do Brasil: A Ascensão dos Bolsonaros,2022.0,16
279041,Speed and Love,2025.0,
549,Lei & Ordem,1990.0,16
1408,Dr. House,2004.0,14
1396,Breaking Bad,2008.0,18
46952,Lista Negra,2013.0,16
4057,Mentes Criminosas,2005.0,16
1434,Uma Família da Pesada,1999.0,14
764,Midsomer Murders,1997.0,14
1668,Friends,1994.0,12
283123,Eşref Rüya,2025.0,
1407,Homeland - Segurança Nacional,2011.0,16
60735,Flash,2014.0,12
2224,The Daily Show com Trevor Noah,1996.0,14
277752,Cidade de Sombras,2025.0,16
5920,O Mentalista,2008.0,14
46296,Spartacus,2010.0,18
44217,Vikings,2013.0,12
76479,The Boys,2019.0,18
103540,Percy Jackson e os Olimpianos,2023.0,12
1911,Bones,2005.0,14
1402,The Walking Dead,2010.0,18
18165,Diários de um Vampiro,2009.0,14
71912,The Witcher,2019.0,18
153312,Tulsa King,2022.0,16
60625,Rick e Morty,2013.0,16
37680,Homens de Terno,2011.0,14
63174,Lucifer,2016.0,16
301507,Heated Rivalry,2025.0,16
93405,Round 6,2021.0,18
4607,Lost,2004.0,16
94722,Tagesschau,1952.0,
1431,CSI: Investigação Criminal,2000.0,16
59941,The Tonight Show com Jimmy Fallon,2014.0,14
65334,Miraculous: As Aventuras de Ladybug,2015.0,0
157741,Landman,2024.0,16
1421,Família Moderna,2009.0,12
272418,Robin Hood,2025.0,16
2288,Prison Break: Em Busca da Verdade,2005.0,14
119051,Wandinha,2022.0,16
1419,Castle,2009.0,14
206559,Binnelanders,2005.0,
1433,American Dad!,2005.0,14
2691,Dois Homens e Meio,2003.0,14
