id,titulo,ano_lancamento,generos,rating,num_avaliacoes,imagem,descricao,metadata
1020,Grand Theft Auto V,2013,"Adventure, Action, Comedy, Open world, Shooter, Racing, Sandbox",88.83,5385,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lbd.jpg,"Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story.","{""slug"": ""grand-theft-auto-v"", ""igdb_url"": ""https://www.igdb.com/games/grand-theft-auto-v"", ""plataformas"": [""PlayStation 3"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""Xbox 360"", ""Xbox One""], ""raw_genres"": [""Adventure"", ""Action"", ""Comedy"", ""Open world"", ""Shooter"", ""Racing"", ""Sandbox""]}"
1942,The Witcher 3: Wild Hunt,2015,"Adventure, Action, Open world, Role-playing (RPG), Fantasy",92.86,4919,https://images.igdb.com/igdb/image/upload/t_cover_big/coaarl.jpg,"The Witcher 3: Wild Hunt is an open-world action role-playing game developed by CD Projekt Red.  Set in a dark fantasy world, the game follows Geralt of Rivia, a monster hunter searching for his adopted daughter, Ciri, while navigating political conflicts and supernatural threats. Gameplay features exploration, combat, character progression, and branching narratives shaped by player choices. Widely acclaimed for its writing, world-building, and depth, it is considered one of the most influential RPGs of its generation.","{""slug"": ""the-witcher-3-wild-hunt"", ""igdb_url"": ""https://www.igdb.com/games/the-witcher-3-wild-hunt"", ""plataformas"": [""Xbox Series X|S"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""PlayStation 5"", ""Xbox One"", ""Nintendo Switch""], ""raw_genres"": [""Adventure"", ""Action"", ""Open world"", ""Role-playing (RPG)"", ""Fantasy""]}"
72,Portal 2,2011,"Adventure, Platform, Puzzle, Action, Comedy, Science fiction",91.98,4101,https://images.igdb.com/igdb/image/upload/t_cover_big/co1rs4.jpg,"Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs.","{""slug"": ""portal-2"", ""igdb_url"": ""https://www.igdb.com/games/portal-2"", ""plataformas"": [""PlayStation 3"", ""Linux"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360"", ""Nintendo Switch""], ""raw_genres"": [""Adventure"", ""Platform"", ""Puzzle"", ""Action"", ""Comedy"", ""Science fiction""]}"
472,The Elder Scrolls V: Skyrim,2011,"Adventure, Stealth, Action, Open world, Sandbox, Role-playing (RPG), Fantasy",83.72,3986,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tnw.jpg,"Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before.","{""slug"": ""the-elder-scrolls-v-skyrim"", ""igdb_url"": ""https://www.igdb.com/games/the-elder-scrolls-v-skyrim"", ""plataformas"": [""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""], ""raw_genres"": [""Adventure"", ""Stealth"", ""Action"", ""Open world"", ""Sandbox"", ""Role-playing (RPG)"", ""Fantasy""]}"
71,Portal,2007,"Adventure, Platform, Puzzle, Action, Comedy, Science fiction",83.23,3700,https://images.igdb.com/igdb/image/upload/t_cover_big/coay61.jpg,"Waking up in a seemingly empty laboratory, the player is made to complete various physics-based puzzle challenges through numerous test chambers in order to test out the new Aperture Science Handheld Portal Device, without an explanation as to how, why or by whom.","{""slug"": ""portal"", ""igdb_url"": ""https://www.igdb.com/games/portal"", ""plataformas"": [""PlayStation 3"", ""Linux"", ""Android"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360"", ""Nintendo Switch""], ""raw_genres"": [""Adventure"", ""Platform"", ""Puzzle"", ""Action"", ""Comedy"", ""Science fiction""]}"
732,Grand Theft Auto: San Andreas,2004,"Adventure, Stealth, Action, Open world, Shooter, Racing",91.65,3631,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,"Returning after his mother's murder to the semi-fictional city of Los Santos (based on Los Angeles), Carl Johnson, a former gang banger, must take back the streets for his family and friends by gaining respect and once again gaining control over the streets. However, a story filled with crime, lies and corruption will lead him to trudge the entire state of San Andreas (based on California and Nevada) to rebuild his life.","{""slug"": ""grand-theft-auto-san-andreas"", ""igdb_url"": ""https://www.igdb.com/games/grand-theft-auto-san-andreas"", ""plataformas"": [""Xbox"", ""PlayStation 3"", ""PlayStation 4"", ""Android"", ""PC (Microsoft Windows)"", ""iOS"", ""Mac"", ""Xbox 360"", ""PlayStation 2""], ""raw_genres"": [""Adventure"", ""Stealth"", ""Action"", ""Open world"", ""Shooter"", ""Racing""]}"
25076,Red Dead Redemption 2,2018,"Adventure, Action, Open world, Shooter, Role-playing (RPG), Drama",93.66,3188,https://images.igdb.com/igdb/image/upload/t_cover_big/co1q1f.jpg,"Red Dead Redemption 2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age.","{""slug"": ""red-dead-redemption-2"", ""igdb_url"": ""https://www.igdb.com/games/red-dead-redemption-2"", ""plataformas"": [""Google Stadia"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""Xbox One""], ""raw_genres"": [""Adventure"", ""Action"", ""Open world"", ""Shooter"", ""Role-playing (RPG)"", ""Drama""]}"
1009,The Last of Us,2013,"Adventure, Stealth, Survival, Horror, Action, Shooter",92.34,3162,https://images.igdb.com/igdb/image/upload/t_cover_big/co1r7f.jpg,"The Last of Us is a third-person action-adventure game featuring a mix of exploration, stealth and combat. Players face both infected creatures and hostile human enemies while progressing through varied environments. The game includes a narrative-driven single-player campaign and a competitive online multiplayer mode called Factions. Trophy support is included, and additional downloadable content was made available separately.","{""slug"": ""the-last-of-us"", ""igdb_url"": ""https://www.igdb.com/games/the-last-of-us"", ""plataformas"": [""PlayStation 3""], ""raw_genres"": [""Adventure"", ""Stealth"", ""Survival"", ""Horror"", ""Action"", ""Shooter""]}"
233,Half-Life 2,2004,"Horror, Science fiction, Shooter, Action",84.73,3124,https://images.igdb.com/igdb/image/upload/t_cover_big/co1nmw.jpg,"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling.  NOW. By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around them, from the physical environment to the behaviors even the emotions of both friends and enemies.","{""slug"": ""half-life-2"", ""igdb_url"": ""https://www.igdb.com/games/half-life-2"", ""plataformas"": [""Xbox"", ""PlayStation 3"", ""Linux"", ""Android"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360""], ""raw_genres"": [""Horror"", ""Science fiction"", ""Shooter"", ""Action""]}"
19560,God of War,2018,"Adventure, Action, Historical, Hack and slash/Beat 'em up, Role-playing (RPG), Fantasy",94.25,3122,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tmu.jpg,"God of War is the sequel to God of War III as well as a continuation of the canon God of War chronology. Unlike previous installments, this game focuses on Norse mythology and follows an older and more seasoned Kratos and his son Atreus in the years since the third game. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same.","{""slug"": ""god-of-war--1"", ""igdb_url"": ""https://www.igdb.com/games/god-of-war--1"", ""plataformas"": [""PlayStation 4"", ""PC (Microsoft Windows)""], ""raw_genres"": [""Adventure"", ""Action"", ""Historical"", ""Hack and slash/Beat 'em up"", ""Role-playing (RPG)"", ""Fantasy""]}"
