id,titulo,descricao,ano_lancamento,generos,rating,num_avaliacoes,metadata,imagem
4,O Alquimista,"O jovem pastor Santiago tem um sonho que se repete. O sonho fala de um tesouro oculto, guardado perto das Pirâmides do Egito. Decidido a seguir seu sonho, o rapaz se depara com os grandes mistérios que acompanham a raça humana desde a sua criação; o Amor, os sinais de Deus, o sonho que cada um de nós precisa seguir na vida.  A peregrinação de Santiago, narrada pelo escritor Paulo Coelho em  O alquimista  transformou-se num dos maiores fenômenos literários. Caminhando em uma caravana pelo deserto do Saara, ele entra em contato com pessoas e presságios que lhe indicam o caminho a seguir. Entre eles, um misterioso personagem - um Alquimista.   É quem irá ensiná-lo a penetrar na Alma do Mundo, e a receber todas as pistas necessárias para chegar até o tesouro.",1988,"['Translations into Indonesian', 'Voyages and travels', 'Fiction', 'Portuguese Fiction', 'Self-realization', 'Alchemists', 'Young men', 'Shepherds', 'New York Times bestseller', 'nyt:trade_fiction_paperback=2008-01-05', 'nyt:trade_fiction_paperback=2007-12-02', 'Fiction, visionary & metaphysical', 'Spain, fiction', 'FICTION / Literary', 'BODY, MIND & SPIRIT / Spirituality / General', 'BODY, MIND & SPIRIT / Inspiration & Personal Growth', 'Fables', 'Translations from English', 'Thai fiction', 'French language', 'Reading materials', 'Russian language edition', 'Powieść brazylijska', 'Tłumaczenia polskie', 'Comics & graphic novels, general', 'Mexican literature', 'Alquimia', 'Novela', 'Pastores', 'Andalucía (España)', 'Alquimistas', 'Large type books', 'Fiction, fantasy, general', 'Alchemy', 'Quests (Expeditions)', 'Literary', 'BODY, MIND & SPIRIT', 'Spirituality', 'General', 'Inspiration & Personal Growth', 'Expeditions', 'Parodies, imitations', 'Comic books, strips', 'Graphic novels', 'Translations into Russian', 'Literature', 'Ficción', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12']",3.7995283018867925,424,"{'autor': ['Paulo Coelho'], 'editora': ['Rocco'], 'paginas': 0, 'ISBN13': None, 'ISBN10': '8576651858'}",
6,O Alquimista,"O jovem pastor Santiago tem um sonho que se repete. O sonho fala de um tesouro oculto, guardado perto das Pirâmides do Egito. Decidido a seguir seu sonho, o rapaz se depara com os grandes mistérios que acompanham a raça humana desde a sua criação; o Amor, os sinais de Deus, o sonho que cada um de nós precisa seguir na vida.   A peregrinação de Santiago, narrada pelo escritor Paulo Coelho em  O alquimista  transformou-se num dos maiores fenômenos literários. Caminhando em uma caravana pelo deserto do Saara, ele entra em contato com pessoas e presságios que lhe indicam o caminho a seguir. Entre eles, um misterioso personagem - um Alquimista.    É quem irá ensiná-lo a penetrar na Alma do Mundo, e a receber todas as pistas necessárias para chegar até o tesouro.",1988,"['Translations into Indonesian', 'Voyages and travels', 'Fiction', 'Portuguese Fiction', 'Self-realization', 'Alchemists', 'Young men', 'Shepherds', 'New York Times bestseller', 'nyt:trade_fiction_paperback=2008-01-05', 'nyt:trade_fiction_paperback=2007-12-02', 'Fiction, visionary & metaphysical', 'Spain, fiction', 'FICTION / Literary', 'BODY, MIND & SPIRIT / Spirituality / General', 'BODY, MIND & SPIRIT / Inspiration & Personal Growth', 'Fables', 'Translations from English', 'Thai fiction', 'French language', 'Reading materials', 'Russian language edition', 'Powieść brazylijska', 'Tłumaczenia polskie', 'Comics & graphic novels, general', 'Mexican literature', 'Alquimia', 'Novela', 'Pastores', 'Andalucía (España)', 'Alquimistas', 'Large type books', 'Fiction, fantasy, general', 'Alchemy', 'Quests (Expeditions)', 'Literary', 'BODY, MIND & SPIRIT', 'Spirituality', 'General', 'Inspiration & Personal Growth', 'Expeditions', 'Parodies, imitations', 'Comic books, strips', 'Graphic novels', 'Translations into Russian', 'Literature', 'Ficción', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12']",3.7995283018867925,424,"{'autor': ['Paulo Coelho'], 'editora': ['Rocco'], 'paginas': 0, 'ISBN13': None, 'ISBN10': '8576651858'}",
1,Ensaio Sobre a Cegueira,"Um motorista parado no sinal se descobre subitamente cego. É o primeiro caso de uma treva branca que logo se espalha incontrolavelmente. Resguardados em quarentena, os cegos se perceberão reduzidos à essência humana, numa verdadeira viagem às trevas.  O Ensaio sobre a cegueira é a fantasia de um autor que nos faz lembrar a responsabilidade de ter olhos quando os outros os perderam. José Saramago nos dá, aqui, uma imagem aterradora e comovente de tempos sombrios, à beira de um novo milênio, impondo-se à companhia dos maiores visionários modernos, como Franz Kafka e Elias Canetti.  Cada leitor viverá uma experiência imaginativa única. Num ponto onde se cruzam literatura e sabedoria, José Saramago nos obriga a parar, fechar os olhos e ver. Recuperar a lucidez, resgatar o afeto: essas são as tarefas do escritor e de cada leitor, diante da pressão dos tempos e do que se perdeu: uma coisa que não tem nome, essa coisa é o que somos.",1995,"['Blind', 'Blindness', 'Fiction', 'Modern Literature', 'Allegories', 'Psychological fiction', 'Psychology', 'Epidemics', 'Survival', 'Blind in literature', 'Violence', 'Large type books', 'Novela', 'Portugal', 'Dystopian', 'Literary Fiction', 'Disease Outbreaks']",4.3076923076923075,39,"{'autor': ['José Saramago'], 'editora': ['Companhia das Letras'], 'paginas': 310, 'ISBN13': '9788571644953', 'ISBN10': None}",
3,O caçador de pipas,"O caçador de pipas é considerado um dos maiores sucessos da literatura mundial dos últimos tempos. Este romance conta a história da amizade de Amir e Hassan, dois meninos quase da mesma idade, que vivem vidas muito diferentes no Afeganistão da década de 1970. Amir é rico e bem-nascido, um pouco covarde, e sempre em busca da aprovação de seu próprio pai. Hassan, que não sabe ler nem escrever, é conhecido por coragem e bondade. Os dois, no entanto, são loucos por histórias antigas de grandes guerreiros, filmes de caubói americanos e pipas. E é justamente durante um campeonato de pipas, no inverno de 1975, que Hassan dá a Amir a chance de ser um grande homem, mas ele não enxerga sua redenção. Após desperdiçar a última chance, Amir vai para os Estados Unidos, fugindo da invasão soviética ao Afeganistão, mas vinte anos depois Hassan e a pipa azul o fazem voltar à sua terra natal para acertar contas com o passado.",2003,"['New York Times bestseller', 'nyt:trade_fiction_paperback=2008-10-26', 'Male friendship', 'Betrayal', 'Fiction', 'Social classes', 'Boys', 'nyt:trade_fiction_paperback=2009-09-26', 'Bacha bazi', 'Soviet-Afghan war', 'Mullahs', 'sadistic personality disorder', 'brass knuckles', 'fighter kites', 'Pashtuns', 'Hazaras', 'literary fiction', 'Teenage boys', 'Bildungsromans', 'Competitions', 'Kites', 'Literature', 'Open Library Staff Picks', 'open_syllabus_project', 'Amistad entre hombres', 'Social conditions', 'Ficción', 'Clases sociales', 'Parent and child', 'Interpersonal relations', 'Historical fiction', 'Friendship', 'Fiction, coming of age', 'Afghanistan, fiction', 'Friendship, fiction', 'Autographed books', 'Social Class', 'Fictional Works [Publication Type]', 'Afghanistan-Konflikt', 'Modern & contemporary fiction (post c 1945)', 'Freundschaft', 'Soziale Ungleichheit', 'General', 'Junge', 'Arabic fiction', 'Romans, nouvelles', 'Amitié masculine', 'Afghans', 'Histoire', 'Littérature américaine', 'Afghanistan', 'Talibans', 'Novelas afganas', 'Novela', 'Traición', 'Muchachos', 'Social classes&#x200B;', 'American fiction', 'collectionID:TexChallenge2021', 'Drama', 'Classes sociales', 'Trahison (Morale)', 'Garçons', 'Male friendship--fiction', 'Social classes--fiction', 'Betrayal--fiction', 'Boys--fiction', 'World literature', 'Fiction subjects', 'Fictional works', 'Translations into Persian', 'In library', 'Large type books', 'Long Now Manual for Civilization']",4.0894308943089435,123,"{'autor': ['Khaled Hosseini'], 'editora': ['Editora Nova Fronteira'], 'paginas': 0, 'ISBN13': '9788520917671', 'ISBN10': None}",
8,Fernao Capelo Gaivota,"Para as pessoas que inventam suas próprias leis quando sabem ter razão; para quem tem um prazer especial em fazer as coisas bem feitas, nem que seja só para elas; para as que sabem que a vida é algo mais do que aquilo que os nossos olhos vêem.",1970,"['Gaviotas', 'Open Library Staff Picks', 'Gulls', 'Fiction', 'Ficción juvenil', 'Juvenile fiction', 'Goélands dans la littérature', 'Reading Level-Grade 7', 'Reading Level-Grade 9', 'Reading Level-Grade 8', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Fiction, visionary & metaphysical', 'Large type books', 'Goélands', 'Romans']",3.7868852459016393,61,"{'autor': ['Richard Bach', 'Russell Munson', 'Antonio Ramos Rosa'], 'editora': ['Record'], 'paginas': 0, 'ISBN13': None, 'ISBN10': '8501060496'}",
10,Operação Cavalo de Tróia,"Relato de um militar e cientista norte-americano que, como integrante de um projeto batizado pela NASA de  Operação Cavalo de Tróia , participou de uma experiência que lhe permitiu voltar quase dois mil anos no tempo e ser testemunha ocular da vida de Jesus Cristo.",1987,[],,0,"{'autor': ['0'], 'editora': ['Mercuryo'], 'paginas': 570, 'ISBN13': None, 'ISBN10': '8572720162'}",
12,Operação Cavalo de Tróia,"Relato de um militar e cientista norte-americano que, como integrante de um projeto batizado pela NASA de  Operação Cavalo de Tróia , participou de uma experiência que lhe permitiu voltar quase dois mil anos no tempo e ser testemunha ocular da vida de Jesus Cristo.",1987,[],,0,"{'autor': ['0'], 'editora': ['Mercuryo'], 'paginas': 570, 'ISBN13': None, 'ISBN10': '8572720162'}",
14,A Menina Que Roubava Livros,"A trajetória de Liesel Meminger é contada por uma narradora mórbida, surpreendentemente simpática. Ao perceber que a pequena ladra de livros lhe escapa, a Morte afeiçoa-se à menina e rastreia suas pegadas de 1939 a 1943. Traços de uma sobrevivente: a mãe comunista, perseguida pelo nazismo, envia Liesel e o irmão para o subúrbio pobre de uma cidade alemã, onde um casal se dispõe a adotá-los por dinheiro. O garoto morre no trajeto e é enterrado por um coveiro que deixa cair um livro na neve. É o primeiro de uma série que a menina vai surrupiar ao longo dos anos. O único vínculo com a família é esta obra, que ela ainda não sabe ler.  Assombrada por pesadelos, ela compensa o medo e a solidão das noites com a conivência do pai adotivo, um pintor de parede bonachão que lhe dá lições de leitura. Alfabetizada sob vistas grossas da madrasta, Liesel canaliza urgências para a literatura. Em tempos de livros incendiados, ela os furta, ou os lê na biblioteca do prefeito da cidade.  A vida ao redor é a pseudo-realidade criada em torno do culto a Hitler na Segunda Guerra. Ela assiste à eufórica celebração do aniversário do Führer pela vizinhança. Teme a dona da loja da esquina, colaboradora do Terceiro Reich. Faz amizade com um garoto obrigado a integrar a Juventude Hitlerista. E ajuda o pai a esconder no porão um judeu que escreve livros artesanais para contar a sua parte naquela História. A Morte, perplexa diante da violência humana, dá um tom leve e divertido à narrativa deste duro confronto entre a infância perdida e a crueldade do mundo adulto, um sucesso absoluto - e raro - de crítica e público.",1998,"['nyt:young-adult-paperback-monthly=2022-09-04', 'New York Times bestseller', 'New York Times reviewed', 'Books and reading', 'Fiction', 'Jews', 'History', 'World War, 1939-1945', 'Rescue', 'Storytelling', 'Death', 'Novela australiana', 'Livres et lecture', 'Romans, nouvelles', 'Juifs', 'Histoire', 'Guerre mondiale, 1939-1945', 'Sauvetage', 'Libros y lectura', 'Novela', 'Judios', 'Historia', 'Guerra Mundial II, 1939-1945', 'Book thefts', 'Jews rescue (1939-1945 : World War) fast (OCoLC)fst01710189', 'World War (1939-1945) fast (OCoLC)fst01180924', 'Death, fiction', 'Germany, history, fiction', 'Jews, history, fiction', 'World war, 1939-1945, fiction', ""Children's fiction"", 'Storytelling, fiction', 'Books and reading, fiction', 'Juvenile fiction', 'Art de conter', 'Mort', 'World war ii', 'Gestapo', 'Judaism', 'Nazi', 'Nazi germany', 'Historical fiction', 'Narración de cuentos', 'Muerte', 'Literature', 'Judíos', 'Nyt:paperback_books=2007-09-09', 'Ficción', 'Jews rescue', 'German history', 'Books', 'Reading', 'Spanish language materials', 'Ficción juvenil', 'Guerra mundial ii', 'Fictional works', 'Large type books', 'Memory', 'Mothers', 'Family problems', 'Young adult fiction', 'Death (personification)', 'Germany']",4.165413533834586,133,"{'autor': ['Markus Zusak'], 'editora': ['Editora Intrinseca'], 'paginas': 499, 'ISBN13': '9788598078175', 'ISBN10': None}",
20,Atitude! 2,"Qual o sacrifício que você está disposto a fazer para ter sucesso? Em Atitude!2, Justin Herald desafia o leitor a se auto-superar e a trilhar o verdadeiro caminho para ser bem-sucedido.  A ordem natural é derrubar as barreiras,mantendo-se concentrado firmemente em seus propósitos, em seus objetivos de vida. Sucesso não é apenas uma palavra de sete letras, é um estilo de vida. Antes, é preciso avaliar o que está errado e mudar. Transformar ruim em bom, bom em ótimo, fracasso em sucesso!",2005,[],,0,"{'autor': [], 'editora': ['Fundamento'], 'paginas': 114, 'ISBN13': None, 'ISBN10': '8588350882'}",
23,"Pai Rico, Pai Pobre","O objetivo deste livro é o de partilhar percepções quanto à maneira como uma maior inteligência financeira pode ser empregada para resolver muitos dos problemas comuns da vida. Sem treinamento financeiro, freqüentemente recorremos a fórmulas padronizadas para levar a vida, como trabalhar com afinco, poupar, fazer empréstimos e pagar impostos demais. Segundo o autor, cada indivíduo tem o poder de determinar o destino do dinheiro que chega às mãos. A escolha é de cada um. A cada dia, a cada nota, decidimos ser rico, pobre ou classe média. Dividir este conhecimento com os filhos é a melhor maneira de prepará-los para o mundo que os aguarda. Ninguém mais o fará.",1990,"['Rich people', 'Personal Finance', 'Investments', 'Finanzas personales', 'Inversiones', 'Ricos', 'Riqueza', 'Financial security', 'Success', 'Financiering', 'Huishoudingen', 'Finance, personal', 'Hacienda privada', 'Spanish language materials', 'Investissements', 'Portfolios (financial records)', 'Finanças privadas', 'Investimentos', 'Finances personnelles', 'Riches', 'Comportement', 'Investissement', 'Riche', 'Hindi language']",3.988647114474929,1057,"{'autor': ['Robert T. Kiyosaki', 'Sharon L. Lechter'], 'editora': ['Editora Campus'], 'paginas': 186, 'ISBN13': '9788535206234', 'ISBN10': None}",
